VOWEL,DURATION,F1,F2,F3,Stress
u,96.56,350,1441,2699,s
o,107.64,598,1049,2866,s
o,118.84,610,976,3019,s
a,187.79,1041,1821,2741,s
a,188.83,1022,1617,2664,s
i,103.23,446,2701,3185,s
i,94.86,471,2505,3091,s
ʌ,107.60,1036,1274,3220,s
ʌ,115.72,890,1241,3233,s
e,108.32,577,2284,2903,s
e,123.22,588,2233,2858,s
e,125.85,555,2286,2775,s
e,120.71,519,2292,2837,s
e,125.63,518,2200,2755,s
ø,121.29,559,1899,2586,s
ø,112.86,544,1923,2570,s
i,85.56,330,2490,3097,s
i,83.61,334,2518,3153,s
o,70.79,602,1178,2717,s
o,66.45,568,1192,2689,s
o,87.71,582,900,2883,s
o,63.07,591,917,2918,s
e,89.00,577,2174,2632,s
e,66.03,585,1867,2512,s
ø,86.23,569,1668,2515,s
ø,77.96,568,1629,2739,s
u,90.68,471,1239,3083,s
u,93.81,434,1190,3066,s
e,101.88,571,2137,2696,s
e,88.99,533,2090,2793,s
i,89.29,333,2470,2933,s
i,96.95,332,2595,2731,s
i,71.77,325,2487,2922,s
i,81.61,320,2668,2787,s
e,148.15,563,2211,2770,s
e,169.33,562,2205,2742,s
ɛ,203.33,728,2144,2266,s
ɛ,177.16,660,2094,2272,s
a,67.77,1007,1584,2568,s
a,85.88,1061,1628,2627,s
ø,63.91,592,1748,2611,s
ø,53.79,574,1736,2629,s
i,79.81,358,2458,2619,s
i,68.72,410,2467,2979,s
e,93.00,564,2114,2670,s
e,86.49,582,2003,2705,s
i,70.50,340,2272,2625,s
i,62.93,344,2497,3056,s
i,69.48,325,2378,2616,s
i,69.09,320,2571,3021,s
i,128.66,319,2566,3184,s
i,137.07,339,2586,3035,s
ø,72.34,594,1670,2548,s
ø,75.11,561,1606,2575,s
e,99.36,545,2063,2737,s
e,99.14,532,2115,2881,s
ø,153.95,618,1604,2751,s
ø,161.29,564,1648,2685,s
ø,59.00,561,1759,2709,s
ø,67.50,591,1743,2673,s
a,175.40,1134,1651,2810,s
a,175.29,998,1595,2771,s
u,185.17,472,1134,3115,s
u,174.71,498,1295,2954,s
o,166.47,568,1044,2863,s
o,175.27,558,1018,2849,s
o,180.14,568,877,3209,s
o,164.30,540,830,3061,s
u,80.16,361,1000,2753,s
u,70.79,358,1096,2894,s
u,124.86,324,1227,2709,s
u,122.89,327,1123,2795,s
o,79.34,558,1137,2698,s
o,75.32,557,1161,2698,s
i,91.34,311,2329,2642,s
i,92.05,304,2074,2742,s
a,70.09,860,1618,2380,s
a,86.11,861,1876,2531,s
a,74.62,977,1795,2556,s
ø,107.71,523,1734,2601,s
ø,121.45,541,1672,2630,s
u,51.63,324,1616,2703,s
u,63.80,348,1528,2688,s
ʌ,129.33,766,1218,2636,s
ʌ,128.87,794,1221,2612,s
ʌ,139.57,812,1218,2675,s
ʌ,129.49,792,1136,2954,s
a,126.55,1013,1563,2746,s
a,118.86,959,1551,2594,s
ʌ,185.05,776,1150,3250,s
ʌ,209.76,784,1129,3163,s
i,61.27,319,2481,3019,s
i,69.89,326,2477,2953,s
o,78.45,528,1164,2600,s
o,97.35,514,1250,2586,s
